LOINC #,Long Common Name,Short Name,CLASS,Rank
7558-0,Oyster IgE Ab [Units/volume] in Serum,Oyster IgE Qn,Allergy,1690
29280-5,Fibrin D-dimer [Presence] in Platelet poor plasma by Latex agglutination,D Dimer PPP Ql LA,COAG,1691
43399-5,JAK2 gene p.V617F [Presence] in Blood or Tissue by Molecular genetics method,JAK2 p.V617F Bld/T Ql,MOLPATH.MUT,1692
13462-7,Apolipoprotein A-I/Apolipoprotein B [Mass ratio] in Serum or Plasma,Apo A-I/Apo B SerPl,Chem,1693
49295-9,Protein Fractions [interpretation] in Cerebral spinal fluid by Electrophoresis Narrative,Prot Pattern CSF Elph-Imp,Chem,1694
43441-5,Bacteria identified in Bronchoalveolar lavage by Aerobe culture,Bacteria BAL Aerobe Cult,MICRO,1695
21482-5,Protein [Mass/volume] in 24 hour Urine,Prot 24h Ur-mCnc,Chem,1696
2597-3,Magnesium [Moles/volume] in Red Blood Cells,Magnesium RBC-sCnc,Chem,1697
2669-0,Normetanephrine [Mass/volume] in Serum or Plasma,Normetanephrine SerPl-mCnc,Chem,1698
35603-0,Clonazepam [Mass/volume] in Serum or Plasma by Screen method,Clonazepam SerPl Scn-mCnc,DRUG/TOX,1699
21422-1,Normetanephrine [Mass/volume] in 24 hour Urine,Normetanephrine 24h Ur-mCnc,Chem,1700
13327-2,Parainfluenza virus Ag [Presence] in Unspecified specimen by Immunofluorescence,HPIV Ag XXX Ql IF,MICRO,1701
26517-3,Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid,Polys/leuk NFr CSF,HEM/BC,1702
3193-0,Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay,Fact V Act/Nor PPP,COAG,1703
2895-1,Protoporphyrin.zinc [Mass/volume] in Red Blood Cells,ZPP RBC-mCnc,Chem,1704
6367-7,Clostridium tetani IgG Ab [Units/volume] in Serum by Immunoassay,C tetani IgG Ser IA-aCnc,MICRO,1705
41480-5,BK virus DNA [#/volume] (viral load) in Urine by Probe & target amplification method,BKV DNA # Ur PCR,MICRO,1706
31788-3,Cryptococcus sp Ag [Presence] in Cerebral spinal fluid,Cryptoc Ag CSF Ql,MICRO,1707
31843-6,Helicobacter pylori Ag [Presence] in Stool,H pylori Ag Stl Ql,MICRO,1708
888-8,Blood group antibodies identified in Serum or Plasma,Blood group antibodies SerPl,BLDBK,1709
25987-9,Testosterone Free [Moles/volume] in Serum or Plasma by Radioimmunoassay (RIA),Testost Free SerPl RIA-sCnc,Chem,1710
40464-0,Drugs identified in Urine by Confirmatory method,Drugs Ur Cfm,DRUG/TOX,1711
13227-4,Corynebacterium diphtheriae IgG Ab [Units/volume] in Serum,C diphtheriae IgG Ser-aCnc,MICRO,1712
58787-3,Corynebacterium diphtheriae IgG Ab [Units/volume] in Serum by Immunoassay,C diphtheriae IgG Ser IA-aCnc,MICRO,1713
32284-2,BK virus DNA [Units/volume] (viral load) in Serum or Plasma by Probe & target amplification method,BKV DNA SerPl PCR-aCnc,MICRO,1714
19287-2,Cannabinoids tested for in Urine by Screen method Nominal,Cannabinoids Tested Ur Scn,DRUG/TOX,1715
17852-5,Ureaplasma urealyticum [Presence] in Unspecified specimen by Organism specific culture,U urealyticum XXX Ql Cult,MICRO,1716
6078-0,Cockroach IgE Ab [Units/volume] in Serum,Roach IgE Qn,Allergy,1717
15388-2,Mycoplasma hominis [Presence] in Unspecified specimen by Organism specific culture,M hominis XXX Ql Cult,MICRO,1718
31036-7,Gatifloxacin [Susceptibility] by Minimum inhibitory concentration (MIC),Gatifloxacin Islt MIC,ABXBACT,1719
23871-7,Hepatitis C virus NS5 Ab [Presence] in Serum by Immunoblot (IB),HCV NS5 Ab Ser Ql IB,MICRO,1720
15917-8,Peanut IgE Ab RAST class in Serum,Peanut IgE RAST Ql,Allergy,1721
9610-7,Hepatitis C virus c33c Ab [Presence] in Serum by Immunoblot (IB),HCV C33c Ab Ser Ql IB,MICRO,1722
9609-9,Hepatitis C virus 22-3 Ab [Presence] in Serum by Immunoblot (IB),HCV22-3 Ab Ser Ql IB,MICRO,1723
3187-2,Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay,Fact IX Act/Nor PPP,COAG,1724
43993-5,Age at delivery,Age at delivery,OB.US,1725
23860-0,Erythrocytes [#/volume] in Body fluid by Automated count,RBC # Fld Auto,HEM/BC,1726
3096-5,Urea nitrogen [Mass/time] in 24 hour Urine,UUN 24h Ur-mRate,Chem,1727
6998-9,Ceftriaxone [Susceptibility] by Gradient strip,Ceftriaxone Islt Grad strip,ABXBACT,1728
25630-5,Parvovirus B19 IgG Ab [Titer] in Serum,B19V IgG Titr Ser,MICRO,1729
2350-7,Glucose [Mass/volume] in Urine,Glucose Ur-mCnc,Chem,1730
19098-3,Erythrocytes [Presence] in Amniotic fluid,RBC Amn Ql,HEM/BC,1731
12229-1,Macrophages/100 leukocytes in Cerebral spinal fluid by Manual count,Macrophages/leuk NFr CSF Manual,HEM/BC,1732
20446-1,Herpes simplex virus IgG Ab [interpretation] in Serum by Immunoassay,HSV IgG Ser IA-Imp,MICRO,1733
6059-0,Candida albicans IgE Ab [Units/volume] in Serum,C albicans IgE Qn,Allergy,1734
13337-1,CD8+HLA-DR+ cells/100 cells in Blood,CD8+HLA-DR+ Cells NFr Bld,CELLMARK,1735
21112-8,Birth date,Birth Date,MISC,1736
25435-9,Herpes simplex virus IgM Ab [Presence] in Serum,HSV IgM Ser Ql,MICRO,1737
49835-2,CD19+IgD+ cells/100 cells in Unspecified specimen,CD19+IgD+ cells NFr XXX,CELLMARK,1738
32632-2,HEXA gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,HEXA gene Mut Anal Bld/T,MOLPATH.MUT,1739
49041-7,Testosterone [Mass/volume] in Serum or Plasma by Detection limit = 1.0 ng/dL,Testost SerPl DL<=1.0 ng/dL-mCnc,Chem,1740
5096-3,Coccidioides immitis Ab [Titer] in Serum by Complement fixation,C immitis Ab Titr Ser CF,MICRO,1741
7774-3,Cow whey IgE Ab [Units/volume] in Serum,Cow Whey IgE Qn,Allergy,1742
5052-6,Aspergillus sp Ab [Presence] in Serum by Immune diffusion (ID),Aspergillus Ab Ser Ql ID,MICRO,1743
29675-6,Parvovirus B19 IgG Ab [Presence] in Serum,B19V IgG Ser Ql,MICRO,1744
29660-8,Parvovirus B19 IgG Ab [Presence] in Serum by Immunoassay,B19V IgG Ser Ql IA,MICRO,1745
7981-4,Parvovirus B19 IgM Ab [Presence] in Serum,B19V IgM Ser Ql,MICRO,1746
40658-7,Parvovirus B19 IgM Ab [Presence] in Serum by Immunoassay,B19V IgM Ser Ql IA,MICRO,1747
32147-1,Reducing substances [Mass/volume] in Urine,Reducing Subs Ur-mCnc,UA,1748
22111-9,Bartonella henselae IgM Ab [Titer] in Serum,B henselae IgM Titr Ser,MICRO,1749
22362-8,HTLV 1+2 Ab [Presence] in Serum,HTLV I+II Ab Ser Ql,MICRO,1750
2892-8,Protoporphyrin Free [Mass/volume] in Blood,FEP Bld-mCnc,Chem,1751
3198-9,Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay,Fact VII Act/Nor PPP,COAG,1752
49042-5,Testosterone Free [Mass/volume] in Serum or Plasma by Detection limit = 1.0 ng/dL,Testost Free SerPl DL<=1.0 ng/dL-mCnc,Chem,1753
10386-1,Albumin given [Volume],Albumin Gvn Vol,BLDBK,1754
13589-7,Activated protein C resistance [Presence] in Blood by Probe & target amplification method,aPCR Bld Ql PCR,COAG,1755
16201-6,Oxazepam [Mass/volume] in Urine by Confirmatory method,Oxazepam Ur Cfm-mCnc,DRUG/TOX,1756
8087-9,Parietal cell Ab [Units/volume] in Serum,PCA Ab Ser-aCnc,SERO,1757
8220-6,Opiates [Mass/volume] in Urine,Opiates Ur-mCnc,DRUG/TOX,1758
16228-9,Nordiazepam [Mass/volume] in Urine by Confirmatory method,Nordiazepam Ur Cfm-mCnc,DRUG/TOX,1759
23876-6,HIV 1 RNA [Units/volume] (viral load) in Plasma by Probe & signal amplification method,HIV1 RNA Plas bDNA-aCnc,MICRO,1760
42621-3,Mycoplasma hominis DNA [Presence] in Blood by Probe & target amplification method,M hominis DNA Bld Ql PCR,MICRO,1761
4477-6,Complement C1 esterase inhibitor [Mass/volume] in Serum or Plasma,C1INH SerPl-mCnc,HEM/BC,1762
6138-2,Helminthosporium halodes IgE Ab [Units/volume] in Serum,S rostrata IgE Qn,Allergy,1763
2216-0,Dopamine [Mass/volume] in Serum or Plasma,Dopamine SerPl-mCnc,Chem,1764
6037-6,Barley IgE Ab [Units/volume] in Serum,Barley IgE Qn,Allergy,1765
7632-3,Privet IgE Ab [Units/volume] in Serum,Privet IgE Qn,Allergy,1766
10580-9,Liquefaction [Time] in Semen,Liquefaction Time Smn,FERT,1767
6460-0,Bacteria identified in Sputum by Culture,Bacteria Spt Cult,MICRO,1768
20416-4,Hepatitis C virus RNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method,HCV RNA # SerPl PCR,MICRO,1769
13941-0,Lymphocytes/100 leukocytes in Body fluid by Manual count,Lymphocytes/leuk NFr Fld Manual,HEM/BC,1770
47252-2,Hepatitis C virus RNA [Log #/volume] (viral load) in Serum or Plasma by Probe & target amplification method,HCV RNA SerPl PCR-Log#,MICRO,1771
41487-0,Cryptosporidium parvum Ag [Presence] in Stool by Immunoassay,C parvum Ag Stl Ql IA,MICRO,1772
14116-8,IgG synthesis rate [Mass/time] in Serum & CSF by calculation,IgG Synth Rate Ser+CSF Calc-mRate,Chem,1773
29539-4,HIV 1 RNA [Log #/volume] (viral load) in Plasma by Probe & signal amplification method,HIV1 RNA Plas bDNA-Log#,MICRO,1774
33630-5,HIV protease gene mutations detected [Identifier] in Isolate,HIV PI gene Mut Det Islt,ABXBACT,1775
21821-4,"t(9,22)(ABL1,BCR) Translocation [Presence] in Blood or Tissue by Molecular genetics method","t(9;22)(ABL1,BCR) Bld/T Ql",MOLPATH.TRNLOC,1776
33893-9,Karyotype [Identifier] in Bone marrow Nominal,Karyotyp Mar,MOLPATH,1777
20398-4,Nuclear Ab Pattern Homogenous [Titer] in Serum,ANA Homogen Titr Ser,SERO,1778
5583-0,Arsenic [Mass/volume] in Blood,Arsenic Bld-mCnc,DRUG/TOX,1779
5234-0,Jo-1 extractable nuclear Ab [Presence] in Serum by Immunoassay,ENA Jo1 Ab Ser Ql IA,SERO,1780
16074-7,Walnut IgE Ab RAST class in Serum,Walnut IgE RAST Ql,Allergy,1781
35622-0,Nordiazepam [Mass/volume] in Serum or Plasma by Screen method,Nordiazepam SerPl Scn-mCnc,DRUG/TOX,1782
15014-4,Alkaline phosphatase.intestinal/Alkaline phosphatase.total in Serum or Plasma,ALP Intest CFr SerPl,Chem,1783
20431-3,Microscopic observation [Identifier] in Unspecified specimen by Smear,Smear XXX,MICRO,1784
49588-7,First trimester maternal screen with nuchal translucency [interpretation] Narrative,1st trimester scn+NT Patient-Imp,Chem,1785
611-4,Bacteria identified in Body fluid by Culture,Bacteria Fld Cult,MICRO,1786
23905-3,Mycophenolate [Mass/volume] in Serum or Plasma,Mycophenolate SerPl-mCnc,DRUG/TOX,1787
31112-6,Reticulocytes/100 erythrocytes in Blood by Manual,Retics/100 RBC NFr Manual,HEM/BC,1788
25418-5,Mumps virus IgG Ab [Units/volume] in Serum by Immunoassay,MuV IgG Ser IA-aCnc,MICRO,1789
65757-7,Pathology biopsy report in Kidney Narrative,Kidney Path Bx report,PATH,1790
65752-8,Pathology biopsy report in Liver Narrative,Liver Path Bx report,PATH,1791
65751-0,Pathology biopsy report in Muscle Narrative,Muscle Path Bx report,PATH,1792
65754-4,Pathology biopsy report in Skin Narrative,Skin Path Bx report,PATH,1793
2217-8,Dopamine [Mass/volume] in Urine,Dopamine Ur-mCnc,Chem,1794
11046-0,Epinephrine [Mass/volume] in Urine,Epineph Ur-mCnc,Chem,1795
2667-4,Norepinephrine [Mass/volume] in Urine,Norepineph Ur-mCnc,Chem,1796
25383-1,Cow milk IgE Ab RAST class in Serum,Cow Milk IgE RAST Ql,Allergy,1797
6234-9,Saltwort IgE Ab [Units/volume] in Serum,Saltwort IgE Qn,Allergy,1798
3786-1,Methaqualone [Presence] in Urine,Methaqualone Ur Ql,DRUG/TOX,1799
11060-1,Reducing substances [Presence] in Stool,Reducing Subs Stl Ql,Chem,1800
20469-3,Acetone [Presence] in Serum or Plasma by Screen method,Acetone SerPl Ql Scn,DRUG/TOX,1801
50970-3,XXX blood group Ab [Titer] in Serum or Plasma by Antihuman globulin,XXX blood group Ab Titr SerPl AHG,BLDBK,1802
22315-6,Hepatitis A virus IgM Ab [Units/volume] in Serum,HAV IgM Ser-aCnc,MICRO,1803
17713-9,Topiramate [Mass/volume] in Serum or Plasma,Topiramate SerPl-mCnc,DRUG/TOX,1804
19125-4,Meconium [Presence] in Amniotic fluid,Meconium Amn Ql,Chem,1805
49578-8,Aminocaproate cutoff [Mass/volume] in Serum or Plasma,Amicaproate CtO SerPl-mCnc,DRUG/TOX,1806
2749-0,pH of Gastric fluid,pH Gast,Chem,1807
11559-2,Fractional oxyhemoglobin in Blood,OxyHgb MFr Bld,Chem,1808
7415-3,Cladosporium sphaerospermum IgE Ab [Units/volume] in Serum,C sphaerospermum IgE Qn,Allergy,1809
34696-5,Collection method [Type] of Semen,Collection method Smn,SPEC,1810
7901-2,Helicobacter pylori IgA Ab [Units/volume] in Serum,H pylori IgA Ser-aCnc,MICRO,1811
38494-1,Metanephrine Free [Mass/volume] in Serum or Plasma,Metaneph Free SerPl-mCnc,Chem,1812
13627-5,Erythrocytes [Presence] in Semen by Light microscopy,RBC Smn Ql Micro,FERT,1813
15192-8,Lymphocytes Variant [Presence] in Blood by Automated count,Variant Lymphs Bld Ql Auto,HEM/BC,1814
2030-5,Carboxyhemoglobin/Hemoglobin.total in Arterial blood,COHgb MFr BldA,Chem,1815
11034-6,Acetylcholine receptor binding Ab [Moles/volume] in Serum,AChR Bind Ab Ser-sCnc,SERO,1816
5838-8,Cytomegalovirus [Presence] in Unspecified specimen by Organism specific culture,CMV XXX Ql Cult,MICRO,1817
24312-1,Treponema pallidum Ab [Presence] in Serum by Agglutination,T pallidum Ab Ser Ql Aggl,MICRO,1818
35595-8,Acetaminophen [Mass/volume] in Serum or Plasma by Screen method,APAP SerPl Scn-mCnc,DRUG/TOX,1819
550-4,Bordetella pertussis Ag [Presence] in Unspecified specimen by Immunofluorescence,B pert Ag XXX Ql IF,MICRO,1820
25148-8,Calcium oxalate crystals [#/area] in Urine sediment by Microscopy high power field,CaOx Cry #/area UrnS HPF,UA,1821
14117-6,IgG index in Serum & CSF,IgG/Alb clear Ser+CSF-Rto,Chem,1822
26509-0,Neutrophils.band form/100 leukocytes in Cerebral spinal fluid,Neuts Band/leuk NFr CSF,HEM/BC,1823
12209-3,Eosinophils/100 leukocytes in Body fluid by Manual count,Eosinophil/leuk NFr Fld Manual,HEM/BC,1824
666-8,Microscopic observation [Identifier] in Unspecified specimen by India ink prep,India Ink Prep XXX,MICRO,1825
12215-0,Fatty acids.very long chain [Moles/volume] in Serum or Plasma,VLCFA SerPl-sCnc,Chem,1826
19734-3,Chicken droppings IgE Ab [Units/volume] in Serum,Chicken Drop IgE Qn,Allergy,1827
2638-5,Myelin basic protein [Mass/volume] in Cerebral spinal fluid,MBP CSF-mCnc,Chem,1828
14875-9,Phenylalanine [Moles/volume] in Serum or Plasma,Phe SerPl-sCnc,Chem,1829
20643-3,Glutamine [Moles/volume] in Serum or Plasma,Glutamine SerPl-sCnc,Chem,1830
20636-7,Alanine [Moles/volume] in Serum or Plasma,Alanine SerPl-sCnc,Chem,1831
5005-4,Epstein Barr virus DNA [Presence] in Unspecified specimen by Probe & target amplification method,EBV DNA XXX Ql PCR,MICRO,1832
25473-0,Metanephrine [Moles/volume] in Serum or Plasma,Metaneph SerPl-sCnc,Chem,1833
20661-5,Valine [Moles/volume] in Serum or Plasma,Valine SerPl-sCnc,Chem,1834
3861-2,Nordiazepam [Presence] in Urine,Nordiazepam Ur Ql,DRUG/TOX,1835
12361-2,Oxazepam [Presence] in Urine,Oxazepam Ur Ql,DRUG/TOX,1836
9624-8,Vanillylmandelate [Mass/volume] in Urine,VMA Ur-mCnc,Chem,1837
14121-8,Pyruvate [Moles/volume] in Blood,Pyruvate Bld-sCnc,Chem,1838
46268-9,ABO & Rh group [Type] in Blood from Blood product unit--after transfusion reaction,ABO + Rh p transf rx Bld BPU,BLDBK,1839
3436-3,Carboxy tetrahydrocannabinol [Mass/volume] in Urine,CarboxyTHC Ur-mCnc,DRUG/TOX,1840
41163-7,Treponema pallidum DNA [Presence] in Unspecified specimen by Probe & target amplification method,T pallidum DNA XXX Ql PCR,MICRO,1841
20648-2,Isoleucine [Moles/volume] in Serum or Plasma,Isoleucine SerPl-sCnc,Chem,1842
20649-0,Leucine [Moles/volume] in Serum or Plasma,Leucine SerPl-sCnc,Chem,1843
24139-8,Cockroach IgG Ab [Units/volume] in Serum,Roach IgG Qn,Allergy,1844
11183-1,Macadamia IgE Ab [Units/volume] in Serum,Macadamia IgE Qn,Allergy,1845
44607-0,HIV 1 [interpretation] in Serum by Immunoassay,HIV1 SerPl IA-Imp,MICRO,1846
8015-0,Rubella virus IgM Ab [Units/volume] in Serum,RUBV IgM Ser-aCnc,MICRO,1847
6239-8,Lenscale IgE Ab [Units/volume] in Serum,Lenscale IgE Qn,Allergy,1848
5116-9,Corynebacterium diphtheriae Ab [Units/volume] in Serum by Immunoassay,C diphtheriae Ab Ser IA-aCnc,MICRO,1849
1777-2,Alkaline phosphatase.bone [Enzymatic activity/volume] in Serum or Plasma,ALP Bone SerPl-cCnc,Chem,1850
22568-0,Streptolysin O Ab [Titer] in Serum,ASO Ab Titr Ser,MICRO,1851
13538-4,"Carbon dioxide, total [Moles/volume] in Urine",CO2 Ur-sCnc,Chem,1852
14976-5,Lecithin/Sphingomyelin [Ratio] in Amniotic fluid,Lecithin/Sphingomyelin Amn-Rto,Chem,1853
19201-3,Prostate Specific Ag Free [Units/volume] in Serum or Plasma,PSA Free SerPl-aCnc,Chem,1854
18482-0,Yeast [Presence] in Unspecified specimen by Organism specific culture,Yeast XXX Ql Cult,MICRO,1855
32789-0,Viscosity of Semen Qualitative,Visc Smn Ql,SPEC,1856
7445-0,Lactalbumin alpha IgE Ab [Units/volume] in Serum,A-Lactalb IgE Qn,Allergy,1857
35670-9,Tobramycin [Mass/volume] in Serum or Plasma,Tobramycin SerPl-mCnc,DRUG/TOX,1858
17819-4,Albumin/Protein.total in unspecified time Urine by Electrophoresis,Albumin ?Tm MFr Ur Elph,Chem,1859
17811-1,Alpha 1 globulin/Protein.total in unspecified time Urine by Electrophoresis,Alpha1 Glob ?Tm MFr Ur Elph,Chem,1860
17813-7,Alpha 2 globulin/Protein.total in unspecified time Urine by Electrophoresis,Alpha2 Glob ?Tm MFr Ur Elph,Chem,1861
17815-2,Beta globulin/Protein.total in unspecified time Urine by Electrophoresis,B-Globulin ?Tm MFr Ur Elph,Chem,1862
17817-8,Gamma globulin/Protein.total in unspecified time Urine by Electrophoresis,Gamma glob ?Tm MFr Ur Elph,Chem,1863
21027-8,Platelet aggregation [interpretation] in Platelet poor plasma,PA PPP-Imp,COAG,1864
13088-0,Complement total hemolytic CH100 [Units/volume] in Serum or Plasma,CH100 SerPl-aCnc,HEM/BC,1865
34165-1,Granulocytes Immature [Presence] in Blood by Automated count,Imm Granulocytes Bld Ql Auto,HEM/BC,1866
8072-1,Insulin Ab [Units/volume] in Serum,Insulin Ab Ser-aCnc,SERO,1867
20660-7,Tyrosine [Moles/volume] in Serum or Plasma,Tyrosine SerPl-sCnc,Chem,1868
20401-6,Nuclear Ab pattern.speckled [Titer] in Serum,ANA Speckled Titr Ser,SERO,1869
533-0,Mycobacterium sp identified in Blood by Organism specific culture,Mycobacterium Bld Cult,MICRO,1870
20651-6,Methionine [Moles/volume] in Serum or Plasma,Methionine SerPl-sCnc,Chem,1871
9360-9,Bartonella quintana IgG Ab [Titer] in Serum,B quintana IgG Titr Ser,MICRO,1872
23870-9,Hepatitis C virus 100+5-1-1 Ab [Presence] in Serum by Immunoblot (IB),HCV100+5-1-1 Ab Ser Ql IB,MICRO,1873
59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,SaO2 % BldA PulseOx,HEMODYN.MOLEC,1874
9812-9,Cortisol [Mass/volume] in Serum or Plasma --evening specimen,Cortis PM SerPl-mCnc,Chem,1875
2700-3,Oxalate [Mass/volume] in Urine,Oxalate Ur-mCnc,Chem,1876
4991-6,Borrelia burgdorferi DNA [Presence] in Unspecified specimen by Probe & target amplification method,B burgdor DNA XXX Ql PCR,MICRO,1877
22070-7,HP gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,HP gene Mut Anal Bld/T,MOLPATH.MUT,1878
6286-9,Wormwood IgE Ab [Units/volume] in Serum,Wormwood IgE Qn,Allergy,1879
32220-6,Liver kidney microsomal 1 Ab [Units/volume] in Serum,LKM-1 Ab Ser-aCnc,SERO,1880
9326-0,Phosphatidylserine IgG Ab [Presence] in Serum by Immunoassay,PS IgG Ser Ql IA,COAG,1881
9361-7,Bartonella quintana IgM Ab [Titer] in Serum,B quintana IgM Titr Ser,MICRO,1882
20637-5,Arginine [Moles/volume] in Serum or Plasma,Arginine SerPl-sCnc,Chem,1883
20640-9,Citrulline [Moles/volume] in Serum or Plasma,Citrulline SerPl-sCnc,Chem,1884
20644-1,Glycine [Moles/volume] in Serum or Plasma,Glycine SerPl-sCnc,Chem,1885
20656-5,Serine [Moles/volume] in Serum or Plasma,Serine SerPl-sCnc,Chem,1886
20658-1,Threonine [Moles/volume] in Serum or Plasma,Threonine SerPl-sCnc,Chem,1887
20657-3,Taurine [Moles/volume] in Serum or Plasma,Taurine SerPl-sCnc,Chem,1888
6029-3,Aureobasidium pullulans IgE Ab [Units/volume] in Serum,A pullulans IgE Qn,Allergy,1889
20642-5,Glutamate [Moles/volume] in Serum or Plasma,Glutamate SerPl-sCnc,Chem,1890
20645-8,Histidine [Moles/volume] in Serum or Plasma,Histidine SerPl-sCnc,Chem,1891
20655-7,Proline [Moles/volume] in Serum or Plasma,Proline SerPl-sCnc,Chem,1892
18903-5,Chloramphenicol [Susceptibility],Chloramphen Susc Islt,ABXBACT,1893
17788-1,Large unstained cells/100 leukocytes in Blood by Automated count,LUC/leuk NFr Bld Auto,HEM/BC,1894
14246-3,Phosphatidylserine IgM Ab [Units/volume] in Serum,PS IgM Ser-aCnc,COAG,1895
3218-5,Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay,Fact X Act/Nor PPP,COAG,1896
49058-1,Activated partial thromboplastin time (aPTT) in Blood drawn from CRRT circuit by Coagulation assay,aPTT BldCRRT,COAG,1897
6061-6,Carrot IgE Ab [Units/volume] in Serum,Carrot IgE Qn,Allergy,1898
20781-1,Cryptosporidium sp [Presence] in Stool by Acid fast stain,Cryptosp Stl Ql Acid fast Stn,MICRO,1899
32217-2,von Willebrand factor (vWf) multimers [Presence] in Platelet poor plasma,vWF multimers PPP Ql,COAG,1900
22412-1,Saccharopolyspora rectivirgula Ab [Presence] in Serum,S rectivirgula Ab Ser Ql,MICRO,1901
20652-4,Ornithine [Moles/volume] in Serum or Plasma,Ornithine SerPl-sCnc,Chem,1902
6733-0,Pigeon serum Ab [Presence] in Serum by Immune diffusion (ID),Pigeon Serum Ab Ql ID,Allergy,1903
20650-8,Lysine [Moles/volume] in Serum or Plasma,Lysine SerPl-sCnc,Chem,1904
10853-0,Isospora belli [Presence] in Unspecified specimen by Acid fast stain.Kinyoun modified,I belli XXX Ql Acid fast Mod Kiny Stn,MICRO,1905
5869-3,Parainfluenza virus 1 Ag [Presence] in Unspecified specimen by Immunofluorescence,HPIV1 Ag XXX Ql IF,MICRO,1906
7059-9,Vancomycin [Susceptibility] by Gradient strip,Vancomycin Islt Grad strip,ABXBACT,1907
2159-2,Creatinine [Mass/volume] in Amniotic fluid,Creat Amn-mCnc,Chem,1908
1974-5,Bilirubin [Mass/volume] in Body fluid,Bilirub Fld-mCnc,Chem,1909
20638-3,Asparagine [Moles/volume] in Serum or Plasma,Asparagine SerPl-sCnc,Chem,1910
12201-0,Cryoglobulin [Presence] in Serum by 1 day cold incubation,Cryoglob Ser Ql 1D Cold Inc,Chem,1911
20499-0,Phosphatidylglycerol/Surfactant.total in Amniotic fluid,PG MFr Amn,Chem,1912
50758-2,Herpes simplex virus 1 IgM Ab [Titer] in Serum by Immunofluorescence,HSV1 IgM Titr Ser IF,MICRO,1913
26927-4,Herpes simplex virus 2 IgM Ab [Titer] in Serum by Immunofluorescence,HSV2 IgM Titr Ser IF,MICRO,1914
16195-0,Benzodiazepines [Presence] in Urine by Confirmatory method,Benzodiaz Ur Ql Cfm,DRUG/TOX,1915
6081-4,Coconut IgE Ab [Units/volume] in Serum,Coconut IgE Qn,Allergy,1916
721-1,Free Hemoglobin [Mass/volume] in Plasma,Hgb Free Plas-mCnc,HEM/BC,1917
31209-0,Islet cell 512 Ab [Units/volume] in Serum,Islet Cell512 Ab Ser-aCnc,SERO,1918
1779-8,Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma,ALP Liver SerPl-cCnc,Chem,1919
2334-1,Hemoglobin.gastrointestinal [Presence] in Gastric fluid    *NOTE: from occult blood,Gastrocult Gast Ql,Chem,1920
16085-3,Wheat IgE Ab RAST class in Serum,Wheat IgE RAST Ql,Allergy,1921
29591-5,Enterovirus RNA [Presence] in Unspecified specimen by Probe & target amplification method,EV RNA XXX Ql PCR,MICRO,1922
24103-4,Plasma cells [#/volume] in Blood by Manual count,Plasma Cells # Bld Manual,HEM/BC,1923
6038-4,American Beech IgE Ab [Units/volume] in Serum,Amer Beech IgE Qn,Allergy,1924
38168-1,Major crossmatch [interpretation] by Low ionic strenght saline (LISS),Maj XM SerPl LISS-Imp,BLDBK,1925
2142-8,Cortisol [Mass/volume] in Saliva,Cortis Sal-mCnc,Chem,1926
15568-9,Soybean IgE Ab RAST class in Serum,Soybean IgE RAST Ql,Allergy,1927
43734-3,aPTT in Platelet poor plasma by Coagulation 1:1 saline,aPTT PPP 1:1 saline,COAG,1928
75513-2,dRVVT with 1:1 PNP (LA mix),Mixing dRVVT,COAG,1929
16982-1,HTLV 1+2 Ab [Presence] in Serum by Immunoblot (IB),HTLV I+II Ab Ser Ql IB,MICRO,1930
20420-6,Prostatic acid phosphatase [Mass/volume] in Serum,PACP Ser-mCnc,Chem,1931
6125-9,Gluten IgE Ab [Units/volume] in Serum,Gluten IgE Qn,Allergy,1932
30374-3,Basophils/100 leukocytes in Cerebral spinal fluid,Basophils/leuk NFr CSF,HEM/BC,1933
3714-3,Lidocaine [Mass/volume] in Serum or Plasma,Lidocain SerPl-mCnc,DRUG/TOX,1934
10526-2,Microscopic observation [Identifier] in Sputum by Cyto stain,Cyto Spt,CYTO,1935
7796-6,Platelet clump [Presence] in Blood by Light microscopy,Platelet Clump Bld Ql Smear,HEM/BC,1936
5959-2,Prothrombin time (PT) factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of normal plasma,PT imm NP PPP,COAG,1937
29559-2,Haemophilus ducreyi DNA [Presence] in Unspecified specimen by Probe & target amplification method,H ducreyi DNA XXX Ql PCR,MICRO,1938
18743-5,Autopsy report,Autopsy report,ATTACH.CLINRPT,1939
6901-3,Insulin Free [Units/volume] in Serum or Plasma,Insulin Free SerPl-aCnc,Chem,1940
6121-8,Fusarium moniliforme IgE Ab [Units/volume] in Serum,F moniliforme IgE Qn,Allergy,1941
49838-6,Neural tube defect risk in population,Neural tube defect risk pop,Chem,1942
